"Subject" "ActivityName" "ftAvg" "ftDomain" "ftInstrment" "ftAcceleration" "ftStatVariable" "ftJerk" "ftMagnitude" "ftAxis"
"45" 1 "LAYING" 0.14868943626 "Time" "Gyroscope" NA "mean" NA NA "Z"
"46" 1 "LAYING" -0.87354386782 "Time" "Gyroscope" NA "std" NA NA "X"
"47" 1 "LAYING" -0.9510904402 "Time" "Gyroscope" NA "std" NA NA "Y"
"48" 1 "LAYING" -0.9082846626 "Time" "Gyroscope" NA "std" NA NA "Z"
"49" 1 "LAYING" -0.107270949192 "Time" "Gyroscope" NA "mean" "Y" NA "X"
"50" 1 "LAYING" -0.04151728689 "Time" "Gyroscope" NA "mean" "Y" NA "Y"
"51" 1 "LAYING" -0.0740501211 "Time" "Gyroscope" NA "mean" "Y" NA "Z"
"52" 1 "LAYING" -0.9186085208 "Time" "Gyroscope" NA "std" "Y" NA "X"
"53" 1 "LAYING" -0.9679072436 "Time" "Gyroscope" NA "std" "Y" NA "Y"
"54" 1 "LAYING" -0.9577901596 "Time" "Gyroscope" NA "std" "Y" NA "Z"
"55" 1 "LAYING" -0.96346103 "Time" "Gyroscope" NA "mean" "Y" "Y" NA
"56" 1 "LAYING" -0.9358409828 "Time" "Gyroscope" NA "std" "Y" "Y" NA
"57" 1 "LAYING" -0.874759548 "Time" "Gyroscope" NA "mean" NA "Y" NA
"58" 1 "LAYING" -0.81901016976 "Time" "Gyroscope" NA "std" NA "Y" NA
"59" 1 "LAYING" -0.24888179828 "Time" "Accelerometer" "Gravity" "mean" NA NA "X"
"60" 1 "LAYING" 0.70554977346 "Time" "Accelerometer" "Gravity" "mean" NA NA "Y"
"61" 1 "LAYING" 0.4458177198 "Time" "Accelerometer" "Gravity" "mean" NA NA "Z"
"62" 1 "LAYING" -0.8968300184 "Time" "Accelerometer" "Gravity" "std" NA NA "X"
"63" 1 "LAYING" -0.90772000676 "Time" "Accelerometer" "Gravity" "std" NA NA "Y"
"64" 1 "LAYING" -0.85236629022 "Time" "Accelerometer" "Gravity" "std" NA NA "Z"
"65" 1 "LAYING" -0.8419291525 "Time" "Accelerometer" "Gravity" "mean" NA "Y" NA
"66" 1 "LAYING" -0.79514486386 "Time" "Accelerometer" "Gravity" "std" NA "Y" NA
"67" 1 "SITTING" -0.979641238723404 "Freq" "Accelerometer" "Body" "mean" NA NA "X"
"68" 1 "SITTING" -0.944084550425532 "Freq" "Accelerometer" "Body" "mean" NA NA "Y"
"69" 1 "SITTING" -0.959184889148936 "Freq" "Accelerometer" "Body" "mean" NA NA "Z"
"70" 1 "SITTING" -0.976412313191489 "Freq" "Accelerometer" "Body" "std" NA NA "X"
"71" 1 "SITTING" -0.917275006382979 "Freq" "Accelerometer" "Body" "std" NA NA "Y"
"72" 1 "SITTING" -0.934469558085106 "Freq" "Accelerometer" "Body" "std" NA NA "Z"
"73" 1 "SITTING" -0.986597022553191 "Freq" "Accelerometer" "Body" "mean" "Y" NA "X"
"74" 1 "SITTING" -0.981579467021277 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Y"
"75" 1 "SITTING" -0.986053092340426 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Z"
"76" 1 "SITTING" -0.987492994468085 "Freq" "Accelerometer" "Body" "std" "Y" NA "X"
"77" 1 "SITTING" -0.982513909574468 "Freq" "Accelerometer" "Body" "std" "Y" NA "Y"
"78" 1 "SITTING" -0.988339184893617 "Freq" "Accelerometer" "Body" "std" "Y" NA "Z"
"79" 1 "SITTING" -0.947782922553192 "Freq" "Accelerometer" "Body" "mean" NA "Y" NA
"80" 1 "SITTING" -0.928444801702128 "Freq" "Accelerometer" "Body" "std" NA "Y" NA
"81" 1 "SITTING" -0.985262126808511 "Freq" "Accelerometer" "Body" "mean" "Y" "Y" NA
"82" 1 "SITTING" -0.981606177446808 "Freq" "Accelerometer" "Body" "std" "Y" "Y" NA
"83" 1 "SITTING" -0.989797547234043 "Freq" "Gyroscope" NA "mean" "Y" "Y" NA
"84" 1 "SITTING" -0.987049617234042 "Freq" "Gyroscope" NA "std" "Y" "Y" NA
"85" 1 "SITTING" -0.958435589361702 "Freq" "Gyroscope" NA "mean" NA "Y" NA
"86" 1 "SITTING" -0.932198374893617 "Freq" "Gyroscope" NA "std" NA "Y" NA
"87" 1 "SITTING" -0.976161464042553 "Freq" "Gyroscope" NA "mean" NA NA "X"
"88" 1 "SITTING" -0.975838585319149 "Freq" "Gyroscope" NA "mean" NA NA "Y"
"89" 1 "SITTING" -0.951315544468085 "Freq" "Gyroscope" NA "mean" NA NA "Z"
"90" 1 "SITTING" -0.977904227021277 "Freq" "Gyroscope" NA "std" NA NA "X"
"91" 1 "SITTING" -0.962345042553192 "Freq" "Gyroscope" NA "std" NA NA "Y"
"92" 1 "SITTING" -0.94391784106383 "Freq" "Gyroscope" NA "std" NA NA "Z"
"93" 1 "SITTING" 0.261237565425532 "Time" "Accelerometer" "Body" "mean" NA NA "X"
"94" 1 "SITTING" -0.00130828765170213 "Time" "Accelerometer" "Body" "mean" NA NA "Y"
"95" 1 "SITTING" -0.104544182255319 "Time" "Accelerometer" "Body" "mean" NA NA "Z"
"96" 1 "SITTING" -0.977229008297872 "Time" "Accelerometer" "Body" "std" NA NA "X"
"97" 1 "SITTING" -0.922618641914894 "Time" "Accelerometer" "Body" "std" NA NA "Y"
"98" 1 "SITTING" -0.93958629106383 "Time" "Accelerometer" "Body" "std" NA NA "Z"
"99" 1 "SITTING" 0.0774825199574468 "Time" "Accelerometer" "Body" "mean" "Y" NA "X"
"100" 1 "SITTING" -0.000619102785106384 "Time" "Accelerometer" "Body" "mean" "Y" NA "Y"
"101" 1 "SITTING" -0.00336779235021277 "Time" "Accelerometer" "Body" "mean" "Y" NA "Z"
"102" 1 "SITTING" -0.986430711276596 "Time" "Accelerometer" "Body" "std" "Y" NA "X"
"103" 1 "SITTING" -0.981371965319149 "Time" "Accelerometer" "Body" "std" "Y" NA "Y"
"104" 1 "SITTING" -0.987910804468085 "Time" "Accelerometer" "Body" "std" "Y" NA "Z"
"105" 1 "SITTING" -0.987364195531915 "Time" "Accelerometer" "Body" "mean" "Y" "Y" NA
"106" 1 "SITTING" -0.984120024042553 "Time" "Accelerometer" "Body" "std" "Y" "Y" NA
"107" 1 "SITTING" -0.948536786170213 "Time" "Accelerometer" "Body" "mean" NA "Y" NA
"108" 1 "SITTING" -0.927078418723404 "Time" "Accelerometer" "Body" "std" NA "Y" NA
"109" 1 "SITTING" -0.045350056512766 "Time" "Gyroscope" NA "mean" NA NA "X"
"110" 1 "SITTING" -0.0919241549361702 "Time" "Gyroscope" NA "mean" NA NA "Y"
"111" 1 "SITTING" 0.0629313811914894 "Time" "Gyroscope" NA "mean" NA NA "Z"
"112" 1 "SITTING" -0.977211283191489 "Time" "Gyroscope" NA "std" NA NA "X"
"113" 1 "SITTING" -0.966473895319149 "Time" "Gyroscope" NA "std" NA NA "Y"
"114" 1 "SITTING" -0.941425920851064 "Time" "Gyroscope" NA "std" NA NA "Z"
"115" 1 "SITTING" -0.0936793807234042 "Time" "Gyroscope" NA "mean" "Y" NA "X"
"116" 1 "SITTING" -0.0402118124255319 "Time" "Gyroscope" NA "mean" "Y" NA "Y"
"117" 1 "SITTING" -0.046702627 "Time" "Gyroscope" NA "mean" "Y" NA "Z"
"118" 1 "SITTING" -0.99173159212766 "Time" "Gyroscope" NA "std" "Y" NA "X"
"119" 1 "SITTING" -0.989518068510638 "Time" "Gyroscope" NA "std" "Y" NA "Y"
"120" 1 "SITTING" -0.987935806382979 "Time" "Gyroscope" NA "std" "Y" NA "Z"
"121" 1 "SITTING" -0.991976341276596 "Time" "Gyroscope" NA "mean" "Y" "Y" NA
"122" 1 "SITTING" -0.988308728510638 "Time" "Gyroscope" NA "std" "Y" "Y" NA
"123" 1 "SITTING" -0.93089249 "Time" "Gyroscope" NA "mean" NA "Y" NA
"124" 1 "SITTING" -0.934531840425532 "Time" "Gyroscope" NA "std" NA "Y" NA
"125" 1 "SITTING" 0.831509933404255 "Time" "Accelerometer" "Gravity" "mean" NA NA "X"
"126" 1 "SITTING" 0.204411592680851 "Time" "Accelerometer" "Gravity" "mean" NA NA "Y"
"127" 1 "SITTING" 0.332043702765957 "Time" "Accelerometer" "Gravity" "mean" NA NA "Z"
"128" 1 "SITTING" -0.968457145744681 "Time" "Accelerometer" "Gravity" "std" NA NA "X"
"129" 1 "SITTING" -0.935517055957447 "Time" "Accelerometer" "Gravity" "std" NA NA "Y"
"130" 1 "SITTING" -0.949040933191489 "Time" "Accelerometer" "Gravity" "std" NA NA "Z"
"131" 1 "SITTING" -0.948536786170213 "Time" "Accelerometer" "Gravity" "mean" NA "Y" NA
"132" 1 "SITTING" -0.927078418723404 "Time" "Accelerometer" "Gravity" "std" NA "Y" NA
"133" 1 "STANDING" -0.99524993264151 "Freq" "Accelerometer" "Body" "mean" NA NA "X"
"134" 1 "STANDING" -0.977070847735849 "Freq" "Accelerometer" "Body" "mean" NA NA "Y"
"135" 1 "STANDING" -0.985297098679245 "Freq" "Accelerometer" "Body" "mean" NA NA "Z"
"136" 1 "STANDING" -0.99602834509434 "Freq" "Accelerometer" "Body" "std" NA NA "X"
"137" 1 "STANDING" -0.972293102075472 "Freq" "Accelerometer" "Body" "std" NA NA "Y"
"138" 1 "STANDING" -0.977937259622642 "Freq" "Accelerometer" "Body" "std" NA NA "Z"
"139" 1 "STANDING" -0.994630797358491 "Freq" "Accelerometer" "Body" "mean" "Y" NA "X"
"140" 1 "STANDING" -0.985418704528302 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Y"
"141" 1 "STANDING" -0.990752166037736 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Z"
"142" 1 "STANDING" -0.995073759245283 "Freq" "Accelerometer" "Body" "std" "Y" NA "X"
"143" 1 "STANDING" -0.987018226792453 "Freq" "Accelerometer" "Body" "std" "Y" NA "Y"
"144" 1 "STANDING" -0.992349818113207 "Freq" "Accelerometer" "Body" "std" "Y" NA "Z"
"145" 1 "STANDING" -0.985356361132075 "Freq" "Accelerometer" "Body" "mean" NA "Y" NA
"146" 1 "STANDING" -0.982313804716981 "Freq" "Accelerometer" "Body" "std" NA "Y" NA
"147" 1 "STANDING" -0.99254247754717 "Freq" "Accelerometer" "Body" "mean" "Y" "Y" NA
"148" 1 "STANDING" -0.992536003396226 "Freq" "Accelerometer" "Body" "std" "Y" "Y" NA
"149" 1 "STANDING" -0.994815376981132 "Freq" "Gyroscope" NA "mean" "Y" "Y" NA
"150" 1 "STANDING" -0.994671123207547 "Freq" "Gyroscope" NA "std" "Y" "Y" NA
"151" 1 "STANDING" -0.984617623396226 "Freq" "Gyroscope" NA "mean" NA "Y" NA
"152" 1 "STANDING" -0.978466072075472 "Freq" "Gyroscope" NA "std" NA "Y" NA
"153" 1 "STANDING" -0.986386786037736 "Freq" "Gyroscope" NA "mean" NA NA "X"
"154" 1 "STANDING" -0.988984455849057 "Freq" "Gyroscope" NA "mean" NA NA "Y"
"155" 1 "STANDING" -0.980773122830189 "Freq" "Gyroscope" NA "mean" NA NA "Z"
"156" 1 "STANDING" -0.987497128679245 "Freq" "Gyroscope" NA "std" NA NA "X"
"157" 1 "STANDING" -0.987107727735849 "Freq" "Gyroscope" NA "std" NA NA "Y"
"158" 1 "STANDING" -0.98234533 "Freq" "Gyroscope" NA "std" NA NA "Z"
"159" 1 "STANDING" 0.278917629056604 "Time" "Accelerometer" "Body" "mean" NA NA "X"
"160" 1 "STANDING" -0.0161375901037736 "Time" "Accelerometer" "Body" "mean" NA NA "Y"
"161" 1 "STANDING" -0.110601817735849 "Time" "Accelerometer" "Body" "mean" NA NA "Z"
"162" 1 "STANDING" -0.995759901509434 "Time" "Accelerometer" "Body" "std" NA NA "X"
"163" 1 "STANDING" -0.973190056415094 "Time" "Accelerometer" "Body" "std" NA NA "Y"
"164" 1 "STANDING" -0.979775876981132 "Time" "Accelerometer" "Body" "std" NA NA "Z"
"165" 1 "STANDING" 0.0753766542264151 "Time" "Accelerometer" "Body" "mean" "Y" NA "X"
"166" 1 "STANDING" 0.00797573092830189 "Time" "Accelerometer" "Body" "mean" "Y" NA "Y"
"167" 1 "STANDING" -0.00368524954709434 "Time" "Accelerometer" "Body" "mean" "Y" NA "Z"
"168" 1 "STANDING" -0.994604542264151 "Time" "Accelerometer" "Body" "std" "Y" NA "X"
"169" 1 "STANDING" -0.98564873245283 "Time" "Accelerometer" "Body" "std" "Y" NA "Y"
"170" 1 "STANDING" -0.992251177358491 "Time" "Accelerometer" "Body" "std" "Y" NA "Z"
"171" 1 "STANDING" -0.992367790566038 "Time" "Accelerometer" "Body" "mean" "Y" "Y" NA
"172" 1 "STANDING" -0.993096209433962 "Time" "Accelerometer" "Body" "std" "Y" "Y" NA
"173" 1 "STANDING" -0.98427820735849 "Time" "Accelerometer" "Body" "mean" NA "Y" NA
"174" 1 "STANDING" -0.981942928867925 "Time" "Accelerometer" "Body" "std" NA "Y" NA
"175" 1 "STANDING" -0.0239877347979245 "Time" "Gyroscope" NA "mean" NA NA "X"
"176" 1 "STANDING" -0.0593972209811321 "Time" "Gyroscope" NA "mean" NA NA "Y"
"177" 1 "STANDING" 0.074800751 "Time" "Gyroscope" NA "mean" NA NA "Z"
"178" 1 "STANDING" -0.987191946603774 "Time" "Gyroscope" NA "std" NA NA "X"
"179" 1 "STANDING" -0.98773444 "Time" "Gyroscope" NA "std" NA NA "Y"
"180" 1 "STANDING" -0.980645626981132 "Time" "Gyroscope" NA "std" NA NA "Z"
"181" 1 "STANDING" -0.0996092129056604 "Time" "Gyroscope" NA "mean" "Y" NA "X"
"182" 1 "STANDING" -0.0440627877924528 "Time" "Gyroscope" NA "mean" "Y" NA "Y"
"183" 1 "STANDING" -0.0489505466716981 "Time" "Gyroscope" NA "mean" "Y" NA "Z"
"184" 1 "STANDING" -0.992945106981132 "Time" "Gyroscope" NA "std" "Y" NA "X"
"185" 1 "STANDING" -0.995137917358491 "Time" "Gyroscope" NA "std" "Y" NA "Y"
"186" 1 "STANDING" -0.992108467169811 "Time" "Gyroscope" NA "std" "Y" NA "Z"
"187" 1 "STANDING" -0.994966790566038 "Time" "Gyroscope" NA "mean" "Y" "Y" NA
"188" 1 "STANDING" -0.994733238679245 "Time" "Gyroscope" NA "std" "Y" "Y" NA
"189" 1 "STANDING" -0.976493792830189 "Time" "Gyroscope" NA "mean" NA "Y" NA
"190" 1 "STANDING" -0.978690028679245 "Time" "Gyroscope" NA "std" NA "Y" NA
"191" 1 "STANDING" 0.942952000377358 "Time" "Accelerometer" "Gravity" "mean" NA NA "X"
"192" 1 "STANDING" -0.272983832264151 "Time" "Accelerometer" "Gravity" "mean" NA NA "Y"
"193" 1 "STANDING" 0.0134905823226415 "Time" "Accelerometer" "Gravity" "mean" NA NA "Z"
"194" 1 "STANDING" -0.99376298509434 "Time" "Accelerometer" "Gravity" "std" NA NA "X"
"195" 1 "STANDING" -0.981225957924528 "Time" "Accelerometer" "Gravity" "std" NA NA "Y"
"196" 1 "STANDING" -0.976324063584906 "Time" "Accelerometer" "Gravity" "std" NA NA "Z"
"197" 1 "STANDING" -0.98427820735849 "Time" "Accelerometer" "Gravity" "mean" NA "Y" NA
"198" 1 "STANDING" -0.981942928867925 "Time" "Accelerometer" "Gravity" "std" NA "Y" NA
"199" 1 "WALKING" -0.202794306326316 "Freq" "Accelerometer" "Body" "mean" NA NA "X"
"200" 1 "WALKING" 0.0897127264021053 "Freq" "Accelerometer" "Body" "mean" NA NA "Y"
"201" 1 "WALKING" -0.331560117789474 "Freq" "Accelerometer" "Body" "mean" NA NA "Z"
"202" 1 "WALKING" -0.319134719578947 "Freq" "Accelerometer" "Body" "std" NA NA "X"
"203" 1 "WALKING" 0.056040006846 "Freq" "Accelerometer" "Body" "std" NA NA "Y"
"204" 1 "WALKING" -0.279686751494737 "Freq" "Accelerometer" "Body" "std" NA NA "Z"
"205" 1 "WALKING" -0.170546964549579 "Freq" "Accelerometer" "Body" "mean" "Y" NA "X"
"206" 1 "WALKING" -0.0352255241130632 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Y"
"207" 1 "WALKING" -0.468999224631579 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Z"
"208" 1 "WALKING" -0.133586606326316 "Freq" "Accelerometer" "Body" "std" "Y" NA "X"
"209" 1 "WALKING" 0.106739857136 "Freq" "Accelerometer" "Body" "std" "Y" NA "Y"
"210" 1 "WALKING" -0.534713440421053 "Freq" "Accelerometer" "Body" "std" "Y" NA "Z"
"211" 1 "WALKING" -0.128623450629474 "Freq" "Accelerometer" "Body" "mean" NA "Y" NA
"212" 1 "WALKING" -0.398032586842105 "Freq" "Accelerometer" "Body" "std" NA "Y" NA
"213" 1 "WALKING" -0.0571194000343158 "Freq" "Accelerometer" "Body" "mean" "Y" "Y" NA
"214" 1 "WALKING" -0.103492403002105 "Freq" "Accelerometer" "Body" "std" "Y" "Y" NA
"215" 1 "WALKING" -0.319308593778947 "Freq" "Gyroscope" NA "mean" "Y" "Y" NA
"216" 1 "WALKING" -0.381601911789474 "Freq" "Gyroscope" NA "std" "Y" "Y" NA
"217" 1 "WALKING" -0.199252568986316 "Freq" "Gyroscope" NA "mean" NA "Y" NA
"218" 1 "WALKING" -0.321017953894737 "Freq" "Gyroscope" NA "std" NA "Y" NA
"219" 1 "WALKING" -0.339032197115789 "Freq" "Gyroscope" NA "mean" NA NA "X"
"220" 1 "WALKING" -0.103059416434737 "Freq" "Gyroscope" NA "mean" NA NA "Y"
"221" 1 "WALKING" -0.255940940315789 "Freq" "Gyroscope" NA "mean" NA NA "Z"
"222" 1 "WALKING" -0.516691938736842 "Freq" "Gyroscope" NA "std" NA NA "X"
"223" 1 "WALKING" -0.0335081597884211 "Freq" "Gyroscope" NA "std" NA NA "Y"
"224" 1 "WALKING" -0.436562227473684 "Freq" "Gyroscope" NA "std" NA NA "Z"
"225" 1 "WALKING" 0.277330758736842 "Time" "Accelerometer" "Body" "mean" NA NA "X"
"226" 1 "WALKING" -0.0173838185273684 "Time" "Accelerometer" "Body" "mean" NA NA "Y"
"227" 1 "WALKING" -0.111148103547368 "Time" "Accelerometer" "Body" "mean" NA NA "Z"
"228" 1 "WALKING" -0.283740258842105 "Time" "Accelerometer" "Body" "std" NA NA "X"
"229" 1 "WALKING" 0.114461336747368 "Time" "Accelerometer" "Body" "std" NA NA "Y"
"230" 1 "WALKING" -0.260027902210526 "Time" "Accelerometer" "Body" "std" NA NA "Z"
"231" 1 "WALKING" 0.0740416333157895 "Time" "Accelerometer" "Body" "mean" "Y" NA "X"
"232" 1 "WALKING" 0.0282721095884211 "Time" "Accelerometer" "Body" "mean" "Y" NA "Y"
"233" 1 "WALKING" -0.00416840617789474 "Time" "Accelerometer" "Body" "mean" "Y" NA "Z"
"234" 1 "WALKING" -0.113615602435789 "Time" "Accelerometer" "Body" "std" "Y" NA "X"
"235" 1 "WALKING" 0.0670025007684211 "Time" "Accelerometer" "Body" "std" "Y" NA "Y"
"236" 1 "WALKING" -0.502699788526316 "Time" "Accelerometer" "Body" "std" "Y" NA "Z"
"237" 1 "WALKING" -0.141428809031579 "Time" "Accelerometer" "Body" "mean" "Y" "Y" NA
"238" 1 "WALKING" -0.0744717500625263 "Time" "Accelerometer" "Body" "std" "Y" "Y" NA
"239" 1 "WALKING" -0.136971176556842 "Time" "Accelerometer" "Body" "mean" NA "Y" NA
"240" 1 "WALKING" -0.219688645631579 "Time" "Accelerometer" "Body" "std" NA "Y" NA
"241" 1 "WALKING" -0.041830963526 "Time" "Gyroscope" NA "mean" NA NA "X"
"242" 1 "WALKING" -0.0695300462115789 "Time" "Gyroscope" NA "mean" NA NA "Y"
"243" 1 "WALKING" 0.0849448173042105 "Time" "Gyroscope" NA "mean" NA NA "Z"
"244" 1 "WALKING" -0.473535485894737 "Time" "Gyroscope" NA "std" NA NA "X"
"245" 1 "WALKING" -0.0546077686594737 "Time" "Gyroscope" NA "std" NA NA "Y"
"246" 1 "WALKING" -0.344266629473684 "Time" "Gyroscope" NA "std" NA NA "Z"
"247" 1 "WALKING" -0.0899975423705263 "Time" "Gyroscope" NA "mean" "Y" NA "X"
"248" 1 "WALKING" -0.0398428709463158 "Time" "Gyroscope" NA "mean" "Y" NA "Y"
"249" 1 "WALKING" -0.0461309295021053 "Time" "Gyroscope" NA "mean" "Y" NA "Z"
"250" 1 "WALKING" -0.207421854757895 "Time" "Gyroscope" NA "std" "Y" NA "X"
"251" 1 "WALKING" -0.304468510631579 "Time" "Gyroscope" NA "std" "Y" NA "Y"
"252" 1 "WALKING" -0.404255452631579 "Time" "Gyroscope" NA "std" "Y" NA "Z"
"253" 1 "WALKING" -0.298703679084211 "Time" "Gyroscope" NA "mean" "Y" "Y" NA
"254" 1 "WALKING" -0.325324878894737 "Time" "Gyroscope" NA "std" "Y" "Y" NA
"255" 1 "WALKING" -0.160979552536842 "Time" "Gyroscope" NA "mean" NA "Y" NA
"256" 1 "WALKING" -0.186978364526316 "Time" "Gyroscope" NA "std" NA "Y" NA
"257" 1 "WALKING" 0.935223201473684 "Time" "Accelerometer" "Gravity" "mean" NA NA "X"
"258" 1 "WALKING" -0.282165021263158 "Time" "Accelerometer" "Gravity" "mean" NA NA "Y"
"259" 1 "WALKING" -0.068102864 "Time" "Accelerometer" "Gravity" "mean" NA NA "Z"
"260" 1 "WALKING" -0.976609642526316 "Time" "Accelerometer" "Gravity" "std" NA NA "X"
"261" 1 "WALKING" -0.971305961473684 "Time" "Accelerometer" "Gravity" "std" NA NA "Y"
"262" 1 "WALKING" -0.947717226105263 "Time" "Accelerometer" "Gravity" "std" NA NA "Z"
"263" 1 "WALKING" -0.136971176556842 "Time" "Accelerometer" "Gravity" "mean" NA "Y" NA
"264" 1 "WALKING" -0.219688645631579 "Time" "Accelerometer" "Gravity" "std" NA "Y" NA
"265" 1 "WALKING_DOWNSTAIRS" 0.0382291831510204 "Freq" "Accelerometer" "Body" "mean" NA NA "X"
"266" 1 "WALKING_DOWNSTAIRS" 0.00154990783591837 "Freq" "Accelerometer" "Body" "mean" NA NA "Y"
"267" 1 "WALKING_DOWNSTAIRS" -0.225574471693878 "Freq" "Accelerometer" "Body" "mean" NA NA "Z"
"268" 1 "WALKING_DOWNSTAIRS" 0.0243308391387755 "Freq" "Accelerometer" "Body" "std" NA NA "X"
"269" 1 "WALKING_DOWNSTAIRS" -0.112963739953061 "Freq" "Accelerometer" "Body" "std" NA NA "Y"
"270" 1 "WALKING_DOWNSTAIRS" -0.297927894693878 "Freq" "Accelerometer" "Body" "std" NA NA "Z"
"271" 1 "WALKING_DOWNSTAIRS" -0.0276638676122449 "Freq" "Accelerometer" "Body" "mean" "Y" NA "X"
"272" 1 "WALKING_DOWNSTAIRS" -0.12866715764898 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Y"
"273" 1 "WALKING_DOWNSTAIRS" -0.288334735714286 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Z"
"274" 1 "WALKING_DOWNSTAIRS" -0.0863278966402041 "Freq" "Accelerometer" "Body" "std" "Y" NA "X"
"275" 1 "WALKING_DOWNSTAIRS" -0.134580008877551 "Freq" "Accelerometer" "Body" "std" "Y" NA "Y"
